scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,690,11.472,6.7244,0.2609,0.1735,0.1374
1,50001,100000,73938,562,238,9.8078,3.1557,0.5131,0.3366,0.323
1,100001,150000,126882,1183,376,5.2518,6.1854,-0.0816,-0.0886,-0.057
1,150001,200000,182786,798,312,4.8587,3.9055,0.1088,0.1238,0.0873
1,200001,250000,224197,1602,598,11.6054,8.7679,0.1393,0.1704,0.1078
1,250001,300000,273709,924,316,5.1398,4.525,0.0636,0.0934,0.048
1,300001,350000,325002,1568,398,7.5497,5.4992,0.1571,0.1314,0.0795
1,350001,400000,374662,1791,511,7.7781,6.9035,0.0596,0.0331,0.0203
1,400001,450000,424343,1807,575,8.4269,7.953,0.0289,0.017,0.011
1,450001,500000,475851,1710,546,7.5375,11.0042,-0.187,-0.1312,-0.0834
1,500001,550000,525905,1892,595,8.1875,6.4488,0.1188,0.0895,0.0458
1,550001,600000,575316,1632,444,8.367,6.7864,0.1043,0.0772,0.048
1,600001,650000,626653,1487,397,7.7214,5.6032,0.159,0.1107,0.0803
1,650001,700000,673707,1514,581,10.5607,7.3415,0.1798,0.0917,0.064
1,700001,750000,726952,1229,466,5.1122,5.5334,-0.0396,-0.0311,-0.0157
1,750001,800000,773975,1152,473,8.8564,10.1418,-0.0677,-0.0744,-0.0481
1,800001,850000,820599,1098,383,7.7767,7.4326,0.0226,0.0246,0.0151
1,850001,900000,867266,1034,460,9.1671,7.36,0.1093,0.0577,0.04
1,900001,950000,921773,950,344,6.5628,6.8376,-0.0205,-0.018,-0.0107
1,950001,1000000,975758,364,196,5.5228,5.5511,-0.0026,-0.0065,-0.0032
1,1000001,1050000,1028253,1498,572,16.7577,10.9427,0.2099,0.1636,0.1057
1,1050001,1100000,1076990,1663,658,8.9445,9.8264,-0.047,-0.0282,-0.019
1,1100001,1150000,1125943,1496,592,6.8434,10.4556,-0.2088,-0.0809,-0.0569
1,1150001,1200000,1174260,1448,530,2.6433,5.1525,-0.3219,-0.1074,-0.0755
1,1200001,1250000,1225167,1520,598,14.759,16.1827,-0.046,-0.0316,-0.0202
1,1250001,1300000,1273485,1607,636,9.0616,11.6603,-0.1254,-0.0423,-0.0307
1,1300001,1350000,1324786,1529,598,11.015,9.0918,0.0956,0.0342,0.0239
1,1350001,1400000,1374795,1508,495,8.7458,15.2855,-0.2721,-0.2928,-0.1149
1,1400001,1450000,1424976,1168,318,6.4772,5.7651,0.0582,0.0691,0.0271
1,1450001,1500000,1475629,1287,440,10.2026,10.1965,0.0003,0.0002,0.0001
1,1500001,1550000,1524295,1482,613,10.3305,16.5041,-0.2301,-0.169,-0.0849
1,1550001,1600000,1574458,1496,681,14.4849,14.5505,-0.0023,-0.0012,-0.0007
1,1600001,1650000,1622780,1303,530,6.3552,16.7222,-0.4492,-0.1818,-0.1136
1,1650001,1700000,1675180,1381,451,8.9822,16.5491,-0.2964,-0.1542,-0.0883
1,1700001,1750000,1724284,1205,400,9.7452,8.4242,0.0727,0.0227,0.0161
1,1750001,1800000,1773922,1375,492,3.7406,7.3091,-0.323,-0.1077,-0.0653
1,1800001,1850000,1826895,1421,447,3.8181,6.4523,-0.2565,-0.0459,-0.0361
1,1850001,1900000,1875551,1375,409,7.6668,12.3656,-0.2346,-0.1115,-0.0764
1,1900001,1950000,1925952,1425,511,14.8745,16.4475,-0.0502,-0.0254,-0.0183
1,1950001,2000000,1973932,1355,462,15.0763,3.0291,0.6654,0.2763,0.2266
1,2000001,2050000,2025208,1152,368,17.1918,3.9399,0.6271,0.2015,0.1647
1,2050001,2100000,2074296,1217,406,4.2096,11.4673,-0.463,-0.1942,-0.1242
1,2100001,2150000,2124764,1216,444,11.7213,18.848,-0.2331,-0.1265,-0.0901
1,2150001,2200000,2174937,1200,411,2.5377,7.7739,-0.5078,-0.2,-0.1256
1,2200001,2250000,2224917,1338,514,10.5367,9.924,0.0299,0.0083,0.0064
1,2250001,2300000,2274270,1486,601,11.923,16.6513,-0.1655,-0.1425,-0.0688
1,2300001,2350000,2336678,767,279,6.411,5.1995,0.1044,0.037,0.0275
1,2350001,2400000,2374848,1310,572,7.1315,10.8803,-0.2081,-0.0927,-0.0541
1,2400001,2450000,2425285,1242,457,7.5409,4.5887,0.2434,0.0656,0.0529
1,2450001,2500000,2475335,1250,408,3.0266,8.9569,-0.4949,-0.1518,-0.101
1,2500001,2550000,2522450,1071,352,4.2632,5.8331,-0.1555,-0.0487,-0.0326
1,2550001,2600000,2574315,997,332,5.1976,10.8071,-0.3505,-0.1355,-0.0935
1,2600001,2650000,2624786,1189,466,9.903,11.5068,-0.0749,-0.0347,-0.0255
1,2650001,2700000,2673395,1159,428,5.5048,15.1446,-0.4668,-0.2466,-0.1379
1,2700001,2750000,2724418,1141,407,11.0796,9.3002,0.0873,0.0382,0.0278
1,2750001,2800000,2775006,1140,385,6.5345,8.3121,-0.1197,-0.0439,-0.0314
1,2800001,2850000,2825747,1135,397,7.3665,6.816,0.0388,0.0155,0.0112
1,2850001,2900000,2875981,1106,454,8.812,6.814,0.1279,0.0273,0.0211
1,2900001,2950000,2924463,1054,441,4.6684,14.6962,-0.5178,-0.2201,-0.1462
1,2950001,3000000,2975916,1137,481,9.2853,11.8587,-0.1217,-0.0457,-0.0336
1,3000001,3050000,3024378,1238,468,16.6526,8.9556,0.3006,0.1046,0.087
1,3050001,3100000,3075754,1246,453,8.2516,9.1839,-0.0535,-0.0268,-0.0168
1,3100001,3150000,3123590,1362,516,9.6096,6.9274,0.1622,0.0477,0.0402
1,3150001,3200000,3174945,1090,474,11.967,3.9598,0.5027,0.1262,0.1121
1,3200001,3250000,3223953,1214,407,3.9733,5.9794,-0.2016,-0.0411,-0.0314
1,3250001,3300000,3276074,1256,443,6.8396,12.5078,-0.293,-0.1313,-0.0866
1,3300001,3350000,3323227,1154,462,1.3268,2.5416,-0.314,-0.0256,-0.0197
1,3350001,3400000,3376942,1159,426,3.0202,9.7967,-0.5287,-0.1252,-0.0881
1,3400001,3450000,3424964,1234,485,4.4082,8.275,-0.3049,-0.1049,-0.0744
1,3450001,3500000,3475976,1212,429,5.0678,12.8919,-0.4357,-0.1853,-0.1279
1,3500001,3550000,3524983,1162,399,8.1396,8.1666,-0.0017,-0.0005,-0.0004
1,3550001,3600000,3576062,1257,435,8.2659,4.9855,0.2476,0.0594,0.0473
1,3600001,3650000,3625112,1227,478,6.0857,7.5561,-0.1078,-0.025,-0.0184
1,3650001,3700000,3674416,1212,396,4.4414,6.6344,-0.198,-0.0504,-0.0392
1,3700001,3750000,3724579,904,363,7.4426,4.8617,0.2098,0.0566,0.0426
1,3750001,3800000,3774881,889,364,10.5177,1.2029,0.7947,0.1466,0.1361
1,3800001,3850000,3824030,1063,391,9.553,3.6189,0.4505,0.1319,0.1038
1,3850001,3900000,3873724,1046,308,2.2613,10.7567,-0.6526,-0.1971,-0.1417
1,3900001,3950000,3927447,1193,400,3.5282,9.4023,-0.4543,-0.1437,-0.1085
1,3950001,4000000,3974625,1241,424,3.4429,3.7325,-0.0404,-0.0091,-0.007
1,4000001,4050000,4025759,1259,526,3.9211,5.5897,-0.1754,-0.0538,-0.0418
1,4050001,4100000,4073956,1052,342,4.3939,5.7215,-0.1312,-0.0482,-0.0319
1,4100001,4150000,4125248,1200,411,6.4025,5.7254,0.0558,0.015,0.0115
1,4150001,4200000,4174612,1299,503,9.3111,10.4555,-0.0579,-0.018,-0.0115
1,4200001,4250000,4225649,1240,500,9.9759,7.7378,0.1263,0.0376,0.0284
1,4250001,4300000,4275155,1242,484,7.5301,7.5796,-0.0033,-0.001,-0.0007
1,4300001,4350000,4325849,1227,408,3.0556,3.6296,-0.0859,-0.0241,-0.0183
1,4350001,4400000,4374355,1330,463,6.3405,7.8411,-0.1058,-0.026,-0.0205
1,4400001,4450000,4424179,1216,404,4.7263,4.7463,-0.0021,-0.0006,-0.0004
1,4450001,4500000,4475396,1157,428,5.746,7.8445,-0.1544,-0.048,-0.0274
1,4500001,4550000,4525345,1181,391,8.822,4.1508,0.3601,0.0992,0.0843
1,4550001,4600000,4575817,1360,544,6.776,7.3646,-0.0416,-0.0123,-0.0085
1,4600001,4650000,4624011,1361,528,8.0447,6.1177,0.1361,0.0338,0.0268
1,4650001,4700000,4674180,1505,521,4.4113,5.7702,-0.1335,-0.0477,-0.0356
1,4700001,4750000,4724855,1170,371,5.3383,6.4495,-0.0943,-0.0459,-0.031
1,4750001,4800000,4776146,1388,540,7.6296,6.9549,0.0463,0.0174,0.0133
1,4800001,4850000,4824755,1369,466,5.6477,5.179,0.0433,0.0107,0.009
1,4850001,4900000,4875547,1176,404,4.3723,9.0533,-0.3487,-0.1815,-0.1057
1,4900001,4950000,4924292,937,398,6.4717,7.461,-0.071,-0.0202,-0.0156
1,4950001,5000000,4972486,702,275,6.7708,3.7679,0.2849,0.0958,0.0746
1,5000001,5050000,5026384,673,281,9.645,4.1921,0.3941,0.1293,0.0892
1,5050001,5100000,5074369,779,271,4.1553,4.551,-0.0455,-0.0159,-0.0103
1,5100001,5150000,5124601,863,356,4.3089,2.679,0.2332,0.0434,0.0383
1,5150001,5200000,5175243,805,368,2.82,7.0261,-0.4272,-0.2808,-0.1469
1,5200001,5250000,5223725,837,362,3.3317,4.0831,-0.1013,-0.0176,-0.0142
1,5250001,5300000,5275764,988,356,5.5775,5.567,0.0009,0.0002,0.0002
1,5300001,5350000,5326199,835,236,3.1927,5.3212,-0.25,-0.1293,-0.0782
1,5350001,5400000,5372582,686,222,3.0168,7.9445,-0.4496,-0.2677,-0.1655
1,5400001,5450000,5424342,616,224,1.0262,4.9737,-0.6579,-0.7408,-0.2577
1,5450001,5500000,5476425,683,276,2.8127,5.4657,-0.3205,-0.1098,-0.0723
1,5500001,5550000,5523771,726,313,3.3429,9.4781,-0.4785,-0.2258,-0.1384
1,5550001,5600000,5575774,770,301,2.1785,2.7627,-0.1182,-0.0151,-0.012
1,5600001,5650000,5623220,819,348,3.8142,4.2637,-0.0556,-0.0188,-0.0144
1,5650001,5700000,5674960,719,302,1.3098,2.3338,-0.281,-0.082,-0.0629
1,5700001,5750000,5726162,774,367,6.174,2.728,0.3871,0.1275,0.0988
1,5750001,5800000,5773538,735,319,0.5404,3.6266,-0.7406,-0.2237,-0.1368
1,5800001,5850000,5823631,713,296,0.703,5.1594,-0.7602,-0.3636,-0.2061
1,5850001,5900000,5875466,768,320,4.25,6.865,-0.2353,-0.0937,-0.0687
1,5900001,5950000,5924383,764,299,3.6036,3.4426,0.0228,0.0082,0.0057
1,5950001,6000000,5974895,765,324,7.2855,3.909,0.3016,0.1206,0.0927
1,6000001,6050000,6025671,766,321,1.9961,1.2677,0.2232,0.0503,0.0366
1,6050001,6100000,6075363,716,290,7.3986,1.4062,0.6806,0.227,0.1776
1,6100001,6150000,6124826,771,335,5.8891,3.0687,0.3149,0.0959,0.0733
1,6150001,6200000,6175165,647,208,13.1448,3.286,0.6,0.3532,0.2545
1,6200001,6250000,6225484,757,285,9.5264,1.6932,0.6982,0.3071,0.2564
1,6250001,6300000,6275326,787,196,7.9409,2.711,0.491,0.2357,0.1938
1,6300001,6350000,6324439,874,289,5.8774,5.0643,0.0743,0.0257,0.0196
1,6350001,6400000,6375828,939,308,3.3699,2.0716,0.2386,0.0303,0.0274
1,6400001,6450000,6423676,941,339,4.9712,4.512,0.0484,0.0091,0.0075
1,6450001,6500000,6476266,767,277,5.5425,6.5063,-0.08,-0.0177,-0.0144
1,6500001,6550000,6528532,819,323,10.9268,5.3082,0.3461,0.116,0.0969
1,6550001,6600000,6576128,905,357,13.1529,3.2493,0.6038,0.3285,0.2525
1,6600001,6650000,6624322,1169,479,12.4024,7.8526,0.2246,0.0687,0.0589
1,6650001,6700000,6675341,1243,467,20.2594,3.5332,0.703,0.2671,0.241
1,6700001,6750000,6725452,1406,515,3.1343,3.9494,-0.1151,-0.0449,-0.031
1,6750001,6800000,6773913,1382,482,5.9177,14.1289,-0.4096,-0.3981,-0.1812
1,6800001,6850000,6824804,1242,473,12.4595,15.292,-0.1021,-0.0964,-0.0512
1,6850001,6900000,6874779,1476,399,9.4866,7.9477,0.0883,0.0333,0.027
1,6900001,6950000,6922893,1499,454,15.7052,5.8589,0.4566,0.2645,0.2247
1,6950001,7000000,6974417,1111,377,8.9984,6.4522,0.1648,0.1147,0.0765
1,7000001,7050000,7025014,1076,288,11.6286,5.9218,0.3252,0.1855,0.1483
1,7050001,7100000,7074824,1072,382,12.6082,9.1356,0.1597,0.1205,0.0735
1,7100001,7150000,7124622,1136,438,16.7858,17.1137,-0.0097,-0.0123,-0.0064
1,7150001,7200000,7175155,1153,457,11.5058,20.1774,-0.2737,-0.2984,-0.1604
1,7200001,7250000,7224792,1198,388,9.3389,7.7272,0.0944,0.0491,0.0392
1,7250001,7300000,7274821,1240,412,15.2199,14.7985,0.014,0.0098,0.0069
1,7300001,7350000,7323522,1200,381,9.8868,6.479,0.2082,0.1081,0.0821
1,7350001,7400000,7376412,1216,411,8.1162,14.737,-0.2897,-0.3696,-0.1565
1,7400001,7450000,7424614,1247,442,9.2727,8.9219,0.0193,0.0111,0.0069
1,7450001,7500000,7475507,1178,342,0.065,12.0773,-0.9893,-2.0351,-0.3653
1,7500001,7550000,7525058,1257,470,9.079,8.0566,0.0597,0.057,0.0343
1,7550001,7600000,7575762,1110,455,10.7932,14.1326,-0.134,-0.1768,-0.0836
1,7600001,7650000,7625387,1258,434,2.9603,8.8882,-0.5003,-0.6675,-0.2422
1,7650001,7700000,7674842,1408,534,5.4114,9.0976,-0.2541,-0.1893,-0.121
1,7700001,7750000,7725403,1202,429,7.5151,9.4559,-0.1144,-0.0861,-0.054
1,7750001,7800000,7775212,1292,468,12.1375,10.1694,0.0882,0.0794,0.0499
1,7800001,7850000,7824621,1255,437,6.0243,5.6342,0.0335,0.0205,0.0146
1,7850001,7900000,7874422,1317,453,10.4895,8.649,0.0962,0.0597,0.043
1,7900001,7950000,7923868,1371,486,13.0912,7.0201,0.3019,0.1787,0.135
1,7950001,8000000,7973512,1218,415,5.6794,8.7207,-0.2112,-0.2117,-0.1001
1,8000001,8050000,8024122,1421,507,4.6537,7.147,-0.2113,-0.0927,-0.0521
1,8050001,8100000,8074243,1498,494,6.0468,4.7153,0.1237,0.0405,0.0325
1,8100001,8150000,8124944,1320,418,5.1581,4.5071,0.0674,0.0284,0.0192
1,8150001,8200000,8174040,1101,377,8.6098,5.0152,0.2638,0.1858,0.1382
1,8200001,8250000,8225785,985,370,3.7162,3.9397,-0.0292,-0.0167,-0.0119
1,8250001,8300000,8275491,1087,486,4.352,4.1051,0.0292,0.0058,0.0042
1,8300001,8350000,8323812,1044,436,4.9106,5.427,-0.05,-0.015,-0.0121
1,8350001,8400000,8374797,1109,413,0.2226,8.993,-0.9517,-1.7821,-0.5093
1,8400001,8450000,8425239,1074,464,3.1749,4.4547,-0.1677,-0.0525,-0.0382
1,8450001,8500000,8474359,884,413,2.4839,11.6853,-0.6494,-0.3387,-0.2209
1,8500001,8550000,8526465,959,417,6.9776,3.9335,0.279,0.0657,0.055
1,8550001,8600000,8575015,799,329,11.1222,0.8908,0.8517,0.1432,0.1314
1,8600001,8650000,8626018,755,228,3.7538,1.3616,0.4677,0.0755,0.0657
1,8650001,8700000,8672908,711,360,7.5127,4.025,0.3023,0.0798,0.0641
1,8700001,8750000,8726931,940,393,5.2033,3.1021,0.253,0.0699,0.053
1,8750001,8800000,8775807,1104,511,6.2722,4.9034,0.1225,0.0283,0.0225
1,8800001,8850000,8823738,1000,386,5.6311,4.1894,0.1468,0.0336,0.0247
1,8850001,8900000,8873494,738,351,1.9493,3.4833,-0.2824,-0.0643,-0.046
1,8900001,8950000,8924528,852,339,3.2853,5.4222,-0.2454,-0.0609,-0.0434
1,8950001,9000000,8973889,737,285,2.0066,5.9576,-0.4961,-0.1779,-0.1132
1,9000001,9050000,9024720,662,259,0.939,2.2715,-0.415,-0.3189,-0.1447
1,9050001,9100000,9072160,643,268,11.5313,0.3047,0.9485,0.3178,0.3088
1,9100001,9150000,9121961,550,264,0.7593,0.2343,0.5284,0.0742,0.0601
1,9150001,9200000,9175744,573,231,0.0,0.625,-1.0,-0.2159,-0.164
1,9200001,9250000,9223901,677,177,0.1049,0.5071,-0.6571,-0.1566,-0.116
1,9250001,9300000,9274882,616,142,0.0525,1.7324,-0.9412,-0.2227,-0.1795
1,9300001,9350000,9323239,679,235,7.7236,1.8693,0.6103,0.2148,0.198
1,9350001,9400000,9372986,462,173,1.5447,0.367,0.6161,0.0344,0.0333
1,9400001,9450000,9425771,551,174,1.4708,0.3412,0.6234,0.0598,0.0574
1,9450001,9500000,9475868,559,200,2.4191,0.8229,0.4924,0.0529,0.0477
1,9500001,9550000,9531108,741,409,8.0638,11.1874,-0.1623,-0.0555,-0.0422
1,9550001,9600000,9573039,967,411,1.9055,3.1072,-0.2397,-0.0895,-0.0508
1,9600001,9650000,9624580,652,320,1.3272,2.2097,-0.2495,-0.0647,-0.0472
1,9650001,9700000,9674268,645,377,7.0513,2.8644,0.4223,0.047,0.0438
1,9700001,9750000,9726448,785,382,6.7762,2.6358,0.4399,0.09,0.0763
1,9750001,9800000,9775719,832,376,2.8436,2.299,0.1059,0.0215,0.0179
1,9800001,9850000,9824418,892,442,5.9958,2.8636,0.3535,0.0707,0.0606
1,9850001,9900000,9875445,859,355,2.9289,4.3909,-0.1997,-0.0248,-0.0222
1,9900001,9950000,9925253,1116,453,2.7218,8.2102,-0.502,-0.103,-0.0812
1,9950001,10000000,9973624,893,363,3.5461,6.0073,-0.2576,-0.0485,-0.0407
1,10000001,10050000,10023391,793,391,2.2639,5.787,-0.4376,-0.0881,-0.0719
1,10050001,10100000,10074333,735,330,1.2229,3.5562,-0.4882,-0.1142,-0.0631
1,10100001,10150000,10123064,717,305,2.1198,1.6901,0.1128,0.0152,0.0123
1,10150001,10200000,10174156,454,197,0.1996,2.1345,-0.829,-0.1312,-0.1035
1,10200001,10250000,10227595,682,289,0.8092,3.0599,-0.5817,-0.0793,-0.0679
1,10250001,10300000,10275086,715,257,0.8939,0.7244,0.1047,0.0072,0.0067
1,10300001,10350000,10326844,717,279,3.6514,3.477,0.0245,0.0041,0.0036
1,10350001,10400000,10375086,882,384,3.2946,16.9966,-0.6753,-0.3519,-0.2181
1,10400001,10450000,10423561,843,297,2.1375,3.7497,-0.2739,-0.0582,-0.0375
1,10450001,10500000,10475132,721,241,1.1141,5.6832,-0.6722,-0.2604,-0.1557
1,10500001,10550000,10524234,959,328,0.023,2.6423,-0.9828,-0.3463,-0.1368
1,10550001,10600000,10575941,843,321,0.0916,4.9159,-0.9634,-0.3778,-0.1687
1,10600001,10650000,10624248,893,290,0.0,12.0255,-1.0,-1.9106,-0.4325
1,10650001,10700000,10673903,717,307,0.0191,3.7356,-0.9898,-0.7477,-0.2715
1,10700001,10750000,10727452,728,313,0.0,9.7519,-1.0,-1.0853,-0.4071
1,10750001,10800000,10774278,636,179,0.0,3.2203,-1.0,-0.9594,-0.2248
1,10800001,10850000,10823301,463,221,0.1373,8.4053,-0.9678,-1.8997,-0.4063
1,10850001,10900000,10876268,491,167,0.0268,3.6292,-0.9853,-1.602,-0.3534
1,10900001,10950000,10927527,723,330,1.4979,3.3406,-0.3808,-0.0715,-0.0516
1,10950001,11000000,10975431,1026,465,10.9472,3.9598,0.4687,0.1024,0.0933
1,11000001,11050000,11025417,1045,481,13.188,3.9074,0.5429,0.1388,0.1248
1,11050001,11100000,11074313,978,461,9.0564,4.6132,0.325,0.1082,0.093
1,11100001,11150000,11124704,797,245,1.012,1.1298,-0.055,-0.0063,-0.0054
1,11150001,11200000,11174928,1030,390,4.4558,3.5745,0.1097,0.0229,0.0199
1,11200001,11250000,11223365,1024,515,5.9525,8.1953,-0.1585,-0.0524,-0.0384
1,11250001,11300000,11274838,961,433,4.8812,4.8273,0.0056,0.0018,0.0013
1,11300001,11350000,11324835,1009,406,16.1796,3.5347,0.6414,0.1829,0.1547
1,11350001,11400000,11374980,790,230,2.5509,3.0459,-0.0884,-0.0165,-0.0141
1,11400001,11450000,11426967,961,336,3.6783,4.1794,-0.0638,-0.0081,-0.0061
1,11450001,11500000,11474804,1370,515,5.3553,5.421,-0.0061,-0.0014,-0.0012
1,11500001,11550000,11524104,1413,573,11.2675,11.2026,0.0029,0.0009,0.0006
1,11550001,11600000,11573887,1439,575,7.7439,9.4004,-0.0966,-0.0273,-0.0192
1,11600001,11650000,11623724,1202,441,1.2511,5.4961,-0.6292,-0.2592,-0.1247
1,11650001,11700000,11673845,1191,405,0.7298,5.7891,-0.7761,-0.3293,-0.1713
1,11700001,11750000,11725192,1128,442,10.4217,3.8574,0.4597,0.1123,0.0924
1,11750001,11800000,11774607,1134,473,9.0556,4.8729,0.3003,0.0699,0.0565
1,11800001,11850000,11825014,1139,459,10.5345,6.0397,0.2712,0.1029,0.0764
1,11850001,11900000,11874392,1125,441,1.5494,8.0562,-0.6774,-0.5048,-0.2557
1,11900001,11950000,11923000,1285,599,0.3928,20.9215,-0.9631,-2.6778,-0.4523
1,11950001,12000000,11973258,1215,394,1.292,7.9901,-0.7216,-0.2657,-0.1867
1,12000001,12050000,12026093,1234,434,0.0516,5.7139,-0.9821,-0.4074,-0.2214
1,12050001,12100000,12074492,1056,401,5.2668,3.7969,0.1622,0.0421,0.0342
1,12100001,12150000,12124872,1101,433,0.6003,4.355,-0.7577,-0.2051,-0.1366
1,12150001,12200000,12175055,1027,411,3.8317,11.9594,-0.5147,-0.3194,-0.18
1,12200001,12250000,12225667,1133,401,5.6316,4.114,0.1557,0.0328,0.0246
1,12250001,12300000,12274458,1147,452,6.1225,5.3052,0.0715,0.0136,0.0108
1,12300001,12350000,12325343,1083,417,5.5793,5.8303,-0.022,-0.0047,-0.0035
1,12350001,12400000,12376003,1168,445,1.9222,19.9682,-0.8244,-1.0045,-0.3685
1,12400001,12450000,12424946,1079,317,1.3615,5.1922,-0.5845,-0.0895,-0.0755
1,12450001,12500000,12474612,1079,349,5.181,8.0818,-0.2187,-0.0705,-0.0468
1,12500001,12550000,12526319,967,421,2.4615,5.3711,-0.3715,-0.1069,-0.067
1,12550001,12600000,12576611,1390,557,0.0935,19.1517,-0.9903,-1.9576,-0.3932
1,12600001,12650000,12624972,1282,510,6.1001,10.4229,-0.2616,-0.1074,-0.0655
1,12650001,12700000,12676438,1456,537,7.5318,9.6986,-0.1258,-0.0379,-0.0267
1,12700001,12750000,12725147,1563,488,4.9891,8.7936,-0.276,-0.0859,-0.062
1,12750001,12800000,12774234,1368,486,10.3014,6.6433,0.2159,0.0739,0.0517
1,12800001,12850000,12824897,1405,533,6.1083,8.5993,-0.1694,-0.081,-0.0406
1,12850001,12900000,12874173,1357,509,6.9252,9.9374,-0.1786,-0.1106,-0.0502
1,12900001,12950000,12926273,1269,401,5.7416,6.4588,-0.0588,-0.0259,-0.012
1,12950001,13000000,12973686,1172,415,6.1061,7.1425,-0.0782,-0.0396,-0.0272
1,13000001,13050000,13027569,1221,495,20.7517,4.4221,0.6487,0.277,0.2184
1,13050001,13100000,13074223,1440,486,13.4324,5.5314,0.4166,0.1512,0.1112
1,13100001,13150000,13125547,1385,434,10.8606,5.0429,0.3658,0.2059,0.1305
1,13150001,13200000,13174792,1209,487,16.0637,6.8662,0.4011,0.2938,0.1543
1,13200001,13250000,13225798,1275,424,12.5155,7.9051,0.2258,0.1749,0.0935
1,13250001,13300000,13275624,1450,615,18.2331,6.3473,0.4835,0.3768,0.2312
1,13300001,13350000,13326139,1501,722,7.3213,11.2318,-0.2108,-0.1838,-0.0802
1,13350001,13400000,13373935,1452,683,5.9647,4.2427,0.1687,0.0624,0.0431
1,13400001,13450000,13425958,1407,442,6.2452,8.9961,-0.1805,-0.178,-0.0675
1,13450001,13500000,13476011,1551,596,12.0484,7.6261,0.2248,0.1342,0.0753
1,13500001,13550000,13525184,1650,525,9.7536,6.5655,0.1954,0.1119,0.0668
1,13550001,13600000,13573707,1497,454,6.849,5.109,0.1455,0.0846,0.0463
1,13600001,13650000,13625029,1208,421,7.464,5.6368,0.1395,0.0827,0.0486
1,13650001,13700000,13675403,1269,440,11.7038,7.5142,0.218,0.1367,0.093
1,13700001,13750000,13724717,1129,391,4.5726,2.8608,0.2303,0.1306,0.0908
1,13750001,13800000,13774971,1079,386,8.4261,7.6542,0.048,0.0407,0.0168
1,13800001,13850000,13826030,1215,378,7.5672,6.1125,0.1063,0.0458,0.0311
1,13850001,13900000,13874633,1217,319,3.6624,7.1582,-0.3231,-0.5485,-0.1319
1,13900001,13950000,13925762,959,283,7.8985,5.4223,0.1859,0.4116,0.1412
1,13950001,14000000,13976427,1107,284,3.1884,4.6063,-0.1819,-0.5437,-0.0462
1,14000001,14050000,14023883,1385,380,1.377,19.2344,-0.8664,-6.1685,-0.3587
1,14050001,14100000,14075198,1272,446,3.4366,7.2553,-0.3572,-0.2149,-0.1155
1,14100001,14150000,14125591,1364,457,9.0476,6.3044,0.1787,0.1153,0.0575
1,14150001,14200000,14175134,1267,459,18.1774,8.3106,0.3725,0.2851,0.1465
1,14200001,14250000,14223810,1292,447,13.0488,10.6504,0.1012,0.1102,0.0527
1,14250001,14300000,14274775,1110,358,8.1902,8.9659,-0.0452,-0.0497,-0.0207
1,14300001,14350000,14325599,1212,332,13.259,4.4418,0.4981,0.3419,0.2125
1,14350001,14400000,14376046,1284,388,8.7816,7.9606,0.049,0.0396,0.0225
1,14400001,14450000,14426020,1295,427,7.345,11.2644,-0.2106,-0.1347,-0.0636
1,14450001,14500000,14475208,1207,393,6.9037,3.9499,0.2722,0.102,0.0719
1,14500001,14550000,14524239,1270,526,12.1387,9.7826,0.1075,0.0691,0.0329
1,14550001,14600000,14573716,1243,462,10.4438,6.8397,0.2085,0.1366,0.0672
1,14600001,14650000,14625732,1190,435,9.3129,6.8964,0.1491,0.1739,0.0675
1,14650001,14700000,14675238,1173,376,2.0553,5.5538,-0.4598,-0.1769,-0.0912
1,14700001,14750000,14724586,1179,412,7.2268,6.6226,0.0436,0.0141,0.0098
1,14750001,14800000,14775877,950,312,7.282,12.2383,-0.2539,-0.184,-0.0941
1,14800001,14850000,14823301,1038,312,16.7432,7.025,0.4089,0.2197,0.1277
1,14850001,14900000,14874626,1372,476,19.0869,10.1567,0.3054,0.2662,0.145
1,14900001,14950000,14924497,1391,449,14.3427,14.2389,0.0036,0.0038,0.0018
1,14950001,15000000,14974847,1498,509,14.7584,10.1341,0.1858,0.1315,0.074
1,15000001,15050000,15025145,1452,509,16.3769,9.9178,0.2456,0.2102,0.1275
1,15050001,15100000,15075433,1320,461,8.5577,7.0308,0.098,0.0822,0.04
1,15100001,15150000,15123974,1448,477,11.593,8.8648,0.1334,0.0931,0.0481
1,15150001,15200000,15174200,1257,513,16.7693,13.3216,0.1146,0.1246,0.0649
1,15200001,15250000,15226250,1542,686,34.4484,14.3356,0.4123,0.3909,0.2269
1,15250001,15300000,15274859,1461,602,13.1302,15.8786,-0.0947,-0.0827,-0.0375
1,15300001,15350000,15325127,1414,604,14.9336,12.5518,0.0867,0.097,0.0458
1,15350001,15400000,15374437,1287,485,15.4966,11.3359,0.1551,0.1009,0.0588
1,15400001,15450000,15423999,1089,493,11.4615,10.0536,0.0654,0.0414,0.0246
1,15450001,15500000,15474158,1424,564,12.6898,12.8316,-0.0056,-0.0027,-0.0016
1,15500001,15550000,15523748,1362,494,12.9177,16.4295,-0.1197,-0.0946,-0.0492
1,15550001,15600000,15575011,1392,507,16.6848,16.2431,0.0134,0.0147,0.0062
1,15600001,15650000,15625902,1434,548,18.9763,14.2364,0.1427,0.1392,0.0595
